NOMBRE,DICE OC,DICE OD,DICE AVG,PRECISION OC,PRECISION OD,RECALL OC,RECALL OD,Hausdorff_distance_OC,Hausdorff_distance_OD
PAPILA,002OD.png,0.8950707273478322,0.9867540356380263,0.9409123814929292,0,0,0,0,0,0
PAPILA,002OS.png,0.9163550495573889,0.9750349521063263,0.9456950008318576,0,0,0,0,0,0
PAPILA,004OD.png,0.9288020211713377,0.977062861148863,0.9529324411601003,0,0,0,0,0,0
PAPILA,004OS.png,0.8371664990481142,0.939588217447219,0.8883773582476666,0,0,0,0,0,0
PAPILA,005OD.png,0.7439460297056478,0.8057330967700561,0.774839563237852,0,0,0,0,0,0
PAPILA,005OS.png,0.4974156045338119,0.4932006325712319,0.4953081185525219,0,0,0,0,0,0
PAPILA,006OD.png,0.862795374861687,0.9752810704067567,0.9190382226342219,0,0,0,0,0,0
PAPILA,006OS.png,0.9058015371400591,0.9544213374623061,0.9301114373011825,0,0,0,0,0,0
PAPILA,007OD.png,0.904775871736158,0.9715130702876594,0.9381444710119087,0,0,0,0,0,0
PAPILA,007OS.png,0.9052645541457559,0.9796217538487557,0.9424431539972558,0,0,0,0,0,0
PAPILA,008OD.png,0.9280646276957444,0.9882348081283441,0.9581497179120442,0,0,0,0,0,0
PAPILA,008OS.png,0.9448643054605064,0.9859212377578472,0.9653927716091768,0,0,0,0,0,0
PAPILA,009OD.png,0.7008205060551653,0.7665689566122544,0.7336947313337099,0,0,0,0,0,0
PAPILA,009OS.png,0.5963130301401949,0.7996672923647656,0.6979901612524803,0,0,0,0,0,0
PAPILA,010OD.png,0.9530871591245755,0.9837115622557053,0.9683993606901404,0,0,0,0,0,0
PAPILA,010OS.png,0.7370877961689206,0.8892131071169491,0.8131504516429349,0,0,0,0,0,0
PAPILA,013OD.png,0.6075364986688677,0.9037646339539558,0.7556505663114117,0,0,0,0,0,0
PAPILA,013OS.png,0.49853085210577863,0.5906005515281526,0.5445657018169656,0,0,0,0,0,0
PAPILA,014OD.png,0.731986765342258,0.9068795558947024,0.8194331606184801,0,0,0,0,0,0
PAPILA,014OS.png,0.8168410927167155,0.9449924157374228,0.880916754227069,0,0,0,0,0,0
PAPILA,015OD.png,0.4977603218699109,0.5568315933897411,0.527295957629826,0,0,0,0,0,0
PAPILA,015OS.png,0.4948228515267433,0.49944898945852684,0.4971359204926351,0,0,0,0,0,0
PAPILA,016OD.png,0.9122214772056926,0.9781481963000547,0.9451848367528737,0,0,0,0,0,0
PAPILA,016OS.png,0.7520837170112906,0.9191385466999779,0.8356111318556343,0,0,0,0,0,0
PAPILA,018OD.png,0.8336785059314274,0.9769460619286501,0.9053122839300387,0,0,0,0,0,0
PAPILA,018OS.png,0.9041925650294558,0.9870555225958686,0.9456240438126622,0,0,0,0,0,0
PAPILA,019OD.png,0.798873400863968,0.8846515643315545,0.8417624825977612,0,0,0,0,0,0
PAPILA,019OS.png,0.49833892129395735,0.4973624548063477,0.49785068805015253,0,0,0,0,0,0
PAPILA,020OD.png,0.969271543856633,0.96796558166441,0.9686185627605215,0,0,0,0,0,0
PAPILA,020OS.png,0.7222935802734747,0.8264299378223565,0.7743617590479156,0,0,0,0,0,0
PAPILA,021OD.png,0.9629350683693871,0.988168766671896,0.9755519175206415,0,0,0,0,0,0
PAPILA,021OS.png,0.8893062989597812,0.9836158103679727,0.936461054663877,0,0,0,0,0,0
PAPILA,023OD.png,0.9218577788848368,0.9618093817639684,0.9418335803244026,0,0,0,0,0,0
PAPILA,023OS.png,0.8412944541783437,0.9602694723702447,0.9007819632742942,0,0,0,0,0,0
PAPILA,024OD.png,0.8591528242914852,0.9210108053157229,0.890081814803604,0,0,0,0,0,0
PAPILA,024OS.png,0.8122258163070801,0.976527464324744,0.8943766403159121,0,0,0,0,0,0
PAPILA,025OD.png,0.7063331635774381,0.9870274657397795,0.8466803146586088,0,0,0,0,0,0
PAPILA,025OS.png,0.8490654833901983,0.9450618790019019,0.8970636811960501,0,0,0,0,0,0
PAPILA,026OD.png,0.8938429961391101,0.9854922917206761,0.9396676439298931,0,0,0,0,0,0
PAPILA,026OS.png,0.8744342096378119,0.9822416648950754,0.9283379372664436,0,0,0,0,0,0
PAPILA,027OD.png,0.8390869002947459,0.9812817822402071,0.9101843412674765,0,0,0,0,0,0
PAPILA,027OS.png,0.7405015863273922,0.9565995470834576,0.848550566705425,0,0,0,0,0,0
PAPILA,028OD.png,0.9075733559249006,0.945823358446853,0.9266983571858768,0,0,0,0,0,0
PAPILA,028OS.png,0.8783859979778099,0.9564000259600259,0.917393011968918,0,0,0,0,0,0
PAPILA,029OD.png,0.793958204852447,0.9708251814649568,0.8823916931587019,0,0,0,0,0,0
PAPILA,029OS.png,0.8142292926126992,0.9652652231104457,0.8897472578615724,0,0,0,0,0,0
PAPILA,030OD.png,0.7019714411729793,0.9697635865391989,0.8358675138560892,0,0,0,0,0,0
PAPILA,030OS.png,0.7707004865547715,0.9814518856974789,0.8760761861261253,0,0,0,0,0,0
PAPILA,031OD.png,0.7143945632902055,0.970716731390652,0.8425556473404288,0,0,0,0,0,0
PAPILA,031OS.png,0.6786790427532244,0.9735933822398347,0.8261362124965296,0,0,0,0,0,0
PAPILA,032OD.png,0.7332841771476609,0.974621314570596,0.8539527458591285,0,0,0,0,0,0
PAPILA,032OS.png,0.6895885087258773,0.9840440873630527,0.836816298044465,0,0,0,0,0,0
PAPILA,033OD.png,0.8917187226347556,0.98370687271913,0.9377127976769428,0,0,0,0,0,0
PAPILA,033OS.png,0.9072613824550035,0.9834562547926888,0.9453588186238462,0,0,0,0,0,0
PAPILA,034OD.png,0.7992961989602911,0.9767446012931738,0.8880204001267324,0,0,0,0,0,0
PAPILA,034OS.png,0.7686549750042861,0.9738793917903108,0.8712671833972985,0,0,0,0,0,0
PAPILA,035OD.png,0.6554249191152721,0.9688209325812034,0.8121229258482378,0,0,0,0,0,0
PAPILA,035OS.png,0.7927410206426426,0.9714556518230106,0.8820983362328266,0,0,0,0,0,0
PAPILA,036OD.png,0.73638689480041,0.9873258144553376,0.8618563546278738,0,0,0,0,0,0
PAPILA,036OS.png,0.8514144513500392,0.9802151818674292,0.9158148166087342,0,0,0,0,0,0
PAPILA,037OD.png,0.6432265795221097,0.9730860998601099,0.8081563396911098,0,0,0,0,0,0
PAPILA,037OS.png,0.6515285839581471,0.9820509674821059,0.8167897757201265,0,0,0,0,0,0
PAPILA,038OD.png,0.8822674766729833,0.9789121710625719,0.9305898238677777,0,0,0,0,0,0
PAPILA,038OS.png,0.7444703903983259,0.9809381236986998,0.8627042570485128,0,0,0,0,0,0
PAPILA,039OD.png,0.6387653110815388,0.9611989509768807,0.7999821310292097,0,0,0,0,0,0
PAPILA,039OS.png,0.6751549286368228,0.9819770442794309,0.8285659864581268,0,0,0,0,0,0
PAPILA,041OD.png,0.7658005297660684,0.9767275784547482,0.8712640541104083,0,0,0,0,0,0
PAPILA,041OS.png,0.8137179118127111,0.9767165430386417,0.8952172274256764,0,0,0,0,0,0
PAPILA,042OD.png,0.8577499644969135,0.9889819040991579,0.9233659342980357,0,0,0,0,0,0
PAPILA,042OS.png,0.8040854786219837,0.9843180048008706,0.8942017417114272,0,0,0,0,0,0
PAPILA,044OD.png,0.8617360748456557,0.9473918627407609,0.9045639687932083,0,0,0,0,0,0
PAPILA,044OS.png,0.7315154852465705,0.9355837909082039,0.8335496380773872,0,0,0,0,0,0
PAPILA,045OD.png,0.6867771259943586,0.9748656186038271,0.8308213722990929,0,0,0,0,0,0
PAPILA,045OS.png,0.8112105045165161,0.9738693834668108,0.8925399439916635,0,0,0,0,0,0
PAPILA,046OD.png,0.6070743857184528,0.954278798079484,0.7806765918989684,0,0,0,0,0,0
PAPILA,046OS.png,0.6456108104571991,0.9393250926115208,0.79246795153436,0,0,0,0,0,0
PAPILA,047OD.png,0.9017744765054557,0.9785187435910225,0.9401466100482392,0,0,0,0,0,0
PAPILA,047OS.png,0.9117236460895739,0.9766505776615,0.9441871118755369,0,0,0,0,0,0
PAPILA,048OD.png,0.946731287403124,0.9889480527217951,0.9678396700624595,0,0,0,0,0,0
PAPILA,048OS.png,0.936615234428575,0.9820245688932006,0.9593199016608878,0,0,0,0,0,0
PAPILA,050OD.png,0.8787940769391234,0.9585045617693038,0.9186493193542136,0,0,0,0,0,0
PAPILA,050OS.png,0.8866151245045804,0.9540676449450354,0.9203413847248079,0,0,0,0,0,0
PAPILA,051OD.png,0.6907450930597159,0.7492902733827378,0.7200176832212268,0,0,0,0,0,0
PAPILA,051OS.png,0.8746708288748943,0.9845650744038924,0.9296179516393934,0,0,0,0,0,0
PAPILA,053OD.png,0.8497197711139348,0.9615967272047998,0.9056582491593673,0,0,0,0,0,0
