NOMBRE,DICE OC,DICE OD,DICE AVG,PRECISION OC,PRECISION OD,RECALL OC,RECALL OD,Hausdorff_distance_OC,Hausdorff_distance_OD
RIM_ONE_R3,001.png,0.9153388190941794,0.9344339475748588,0.9248863833345191,0,0,0,0,0,0
RIM_ONE_R3,002.png,0.9401504610350531,0.9634627037086669,0.95180658237186,0,0,0,0,0,0
RIM_ONE_R3,003.png,0.8983945379917867,0.9713354818915587,0.9348650099416727,0,0,0,0,0,0
RIM_ONE_R3,004.png,0.8311407411440102,0.9614641412649325,0.8963024412044713,0,0,0,0,0,0
RIM_ONE_R3,005.png,0.9330501411234797,0.9512204956527615,0.9421353183881206,0,0,0,0,0,0
RIM_ONE_R3,006.png,0.7989171136146893,0.8537319438073294,0.8263245287110094,0,0,0,0,0,0
RIM_ONE_R3,007.png,0.9255706144187557,0.9647502348252377,0.9451604246219967,0,0,0,0,0,0
RIM_ONE_R3,008.png,0.9425886710868638,0.9441637736625381,0.943376222374701,0,0,0,0,0,0
RIM_ONE_R3,009.png,0.8072982462451663,0.8828173334171955,0.8450577898311809,0,0,0,0,0,0
RIM_ONE_R3,010.png,0.8442557532310824,0.9449560832284291,0.8946059182297557,0,0,0,0,0,0
RIM_ONE_R3,011.png,0.7421622599320669,0.9531900542120153,0.847676157072041,0,0,0,0,0,0
RIM_ONE_R3,012.png,0.9205798431367616,0.9345035055722315,0.9275416743544965,0,0,0,0,0,0
RIM_ONE_R3,013.png,0.6456490173796833,0.7659594761785058,0.7058042467790946,0,0,0,0,0,0
RIM_ONE_R3,014.png,0.8921754076617443,0.9122467816914213,0.9022110946765828,0,0,0,0,0,0
RIM_ONE_R3,015.png,0.8898384391343742,0.9593927847979786,0.9246156119661764,0,0,0,0,0,0
RIM_ONE_R3,016.png,0.931435048659162,0.9543903279357733,0.9429126882974677,0,0,0,0,0,0
RIM_ONE_R3,017.png,0.9115060877774797,0.9340339831947662,0.9227700354861229,0,0,0,0,0,0
