DATA_TEST,NOMBRE,DICE OC,DICE OD,DICE ODint,DICE AVG,PRECISION OC,PRECISION OD,PRECISION ODint,RECALL OC,RECALL OD,RECALL ODint,Hausdorff_distance_OC,Hausdorff_distance_OD,Hausdorff_distance_ODint
DRISHTI,Test/003.png,0.9151742468030923,0.9611048825930004,0.9688485618714484,0.9381395646980464,0,0,0,0,0,0,0,0,0
DRISHTI,Test/005.png,0.9189757414542068,0.9710332056925188,0.9861414611821784,0.9450044735733628,0,0,0,0,0,0,0,0,0
DRISHTI,Test/006.png,0.9175454535795207,0.9849267621295321,0.9805879855101226,0.9512361078545264,0,0,0,0,0,0,0,0,0
DRISHTI,Test/007.png,0.9554931597272944,0.9693151202134617,0.9733115501120904,0.962404139970378,0,0,0,0,0,0,0,0,0
DRISHTI,Test/009.png,0.9221971357789807,0.9829149469505103,0.984773330323519,0.9525560413647455,0,0,0,0,0,0,0,0,0
DRISHTI,Test/011.png,0.8908310513242021,0.9628387863817025,0.9820899018411693,0.9268349188529523,0,0,0,0,0,0,0,0,0
DRISHTI,Test/013.png,0.963239113226473,0.9749625383019259,0.9789884710605439,0.9691008257641995,0,0,0,0,0,0,0,0,0
DRISHTI,Test/014.png,0.9169611298726434,0.9612058171021951,0.9849567153609604,0.9390834734874193,0,0,0,0,0,0,0,0,0
DRISHTI,Test/019.png,0.9337476230991453,0.9751458392079166,0.9800309168041635,0.954446731153531,0,0,0,0,0,0,0,0,0
DRISHTI,Test/020.png,0.9067654050308522,0.9767708629421098,0.981978836343121,0.941768133986481,0,0,0,0,0,0,0,0,0
DRISHTI,Test/021.png,0.9553232343922317,0.9228497196106784,0.9333788988468251,0.9390864770014551,0,0,0,0,0,0,0,0,0
DRISHTI,Test/023.png,0.8689983371846468,0.9752404060997861,0.9790303642683476,0.9221193716422165,0,0,0,0,0,0,0,0,0
DRISHTI,Test/025.png,0.9270165576746594,0.9729488135453047,0.9715200729978366,0.949982685609982,0,0,0,0,0,0,0,0,0
DRISHTI,Test/027.png,0.9467958891613744,0.9621054737288869,0.9715555623236363,0.9544506814451306,0,0,0,0,0,0,0,0,0
DRISHTI,Test/028.png,0.9533470042880525,0.9683626549188029,0.981958624691202,0.9608548296034277,0,0,0,0,0,0,0,0,0
DRISHTI,Test/029.png,0.9002057677670835,0.9819584213691317,0.9892295231603341,0.9410820945681075,0,0,0,0,0,0,0,0,0
DRISHTI,Test/030.png,0.9664188763541566,0.9692094849182327,0.978130541447535,0.9678141806361946,0,0,0,0,0,0,0,0,0
DRISHTI,Test/034.png,0.9290186156852829,0.9782106759784823,0.984109295704362,0.9536146458318826,0,0,0,0,0,0,0,0,0
DRISHTI,Test/039.png,0.8959961442463695,0.9638873800232883,0.9698057634741121,0.9299417621348289,0,0,0,0,0,0,0,0,0
DRISHTI,Test/043.png,0.8842499487353358,0.9817232841267098,0.9801944150257186,0.9329866164310228,0,0,0,0,0,0,0,0,0
DRISHTI,Test/048.png,0.9345301546026732,0.9877496246730713,0.9897105704042236,0.9611398896378722,0,0,0,0,0,0,0,0,0
DRISHTI,Test/050.png,0.8726685736998303,0.9890524987827317,0.9598421907887941,0.930860536241281,0,0,0,0,0,0,0,0,0
DRISHTI,Test/052.png,0.9306549827706764,0.9745410746945548,0.9773797664999883,0.9525980287326156,0,0,0,0,0,0,0,0,0
DRISHTI,Test/053.png,0.9426740528353479,0.9747895496781642,0.982948765606847,0.958731801256756,0,0,0,0,0,0,0,0,0
DRISHTI,Test/054.png,0.8594153439166791,0.9742645025375068,0.9887391388995497,0.916839923227093,0,0,0,0,0,0,0,0,0
DRISHTI,Test/055.png,0.9147879113669503,0.9803347754906061,0.9783936417587257,0.9475613434287782,0,0,0,0,0,0,0,0,0
DRISHTI,Test/056.png,0.8450195226440735,0.9653156728786196,0.9757907955699324,0.9051675977613466,0,0,0,0,0,0,0,0,0
DRISHTI,Test/059.png,0.9176781759517323,0.9805462230388498,0.9916096954000823,0.949112199495291,0,0,0,0,0,0,0,0,0
DRISHTI,Test/065.png,0.9273379262266978,0.9703057410104521,0.9849073068427266,0.948821833618575,0,0,0,0,0,0,0,0,0
DRISHTI,Test/067.png,0.9438683153567375,0.9782274561844149,0.9769531319717364,0.9610478857705762,0,0,0,0,0,0,0,0,0
DRISHTI,Test/070.png,0.9074710697212021,0.977605126875846,0.9825073939273911,0.9425380982985241,0,0,0,0,0,0,0,0,0
DRISHTI,Test/071.png,0.949157246895107,0.9688124522634699,0.9866353779261697,0.9589848495792885,0,0,0,0,0,0,0,0,0
DRISHTI,Test/072.png,0.933747254773013,0.9675996482482689,0.9721339117223138,0.950673451510641,0,0,0,0,0,0,0,0,0
DRISHTI,Test/073.png,0.934822113260803,0.9708248125019103,0.9802152526041013,0.9528234628813567,0,0,0,0,0,0,0,0,0
DRISHTI,Test/074.png,0.8564596517830221,0.9614685223176072,0.9917102095437649,0.9089640870503146,0,0,0,0,0,0,0,0,0
DRISHTI,Test/077.png,0.9690059734358785,0.9664742379084672,0.9760747101535239,0.9677401056721728,0,0,0,0,0,0,0,0,0
DRISHTI,Test/078.png,0.9714501099443974,0.9849270461141786,0.9843118587095163,0.978188578029288,0,0,0,0,0,0,0,0,0
DRISHTI,Test/079.png,0.8285271529151321,0.9672596896667981,0.9620756466105698,0.897893421290965,0,0,0,0,0,0,0,0,0
DRISHTI,Test/082.png,0.9018058835521493,0.97047741138811,0.9769831893741683,0.9361416474701296,0,0,0,0,0,0,0,0,0
DRISHTI,Test/083.png,0.9498160237495482,0.9650257951259981,0.9670578527027378,0.9574209094377731,0,0,0,0,0,0,0,0,0
DRISHTI,Test/085.png,0.9757678867988007,0.9701817484850526,0.9785201780073207,0.9729748176419266,0,0,0,0,0,0,0,0,0
DRISHTI,Test/086.png,0.9543455608025555,0.9784792104322391,0.977314300392079,0.9664123856173973,0,0,0,0,0,0,0,0,0
DRISHTI,Test/087.png,0.96245195532542,0.9839599235911196,0.9888328532462818,0.9732059394582698,0,0,0,0,0,0,0,0,0
DRISHTI,Test/091.png,0.9325191005060334,0.9750524950681007,0.9827796787993959,0.953785797787067,0,0,0,0,0,0,0,0,0
DRISHTI,Test/093.png,0.8098910561189958,0.9834459765053623,0.9911987313182133,0.896668516312179,0,0,0,0,0,0,0,0,0
DRISHTI,Test/095.png,0.8884440565255436,0.9507070634044984,0.9743179649615182,0.919575559965021,0,0,0,0,0,0,0,0,0
DRISHTI,Test/096.png,0.6143485824404505,0.9693493014064313,0.9787766438040699,0.7918489419234409,0,0,0,0,0,0,0,0,0
DRISHTI,Test/097.png,0.8957364586325942,0.976802467654385,0.9848344885737779,0.9362694631434896,0,0,0,0,0,0,0,0,0
DRISHTI,Test/099.png,0.9510501011114416,0.9779109744120106,0.980473881776629,0.964480537761726,0,0,0,0,0,0,0,0,0
DRISHTI,Test/100.png,0.7729746683589389,0.9443329417870893,0.9492408037035994,0.8586538050730141,0,0,0,0,0,0,0,0,0
