DATA_TEST,NOMBRE,DICE OC,DICE OD,DICE ODint,DICE AVG,PRECISION OC,PRECISION OD,PRECISION ODint,RECALL OC,RECALL OD,RECALL ODint,Hausdorff_distance_OC,Hausdorff_distance_OD,Hausdorff_distance_ODint
ORIGA,001.png,0.9511317466119844,0.9839614597140671,0.9813717055957714,0.9675466031630258,0,0,0,0,0,0,0,0,0
ORIGA,002.png,0.9379036562181926,0.9602839113501778,0.9415628592133192,0.9490937837841852,0,0,0,0,0,0,0,0,0
ORIGA,003.png,0.6973801724612825,0.9411811846778468,0.9842118530625998,0.8192806785695647,0,0,0,0,0,0,0,0,0
ORIGA,004.png,0.9247213442635991,0.9672030977990482,0.9747113051798217,0.9459622210313237,0,0,0,0,0,0,0,0,0
ORIGA,005.png,0.9591220587040583,0.9666234075947633,0.9769162324118588,0.9628727331494108,0,0,0,0,0,0,0,0,0
ORIGA,006.png,0.9291150462294425,0.953307002139135,0.9514154790244628,0.9412110241842888,0,0,0,0,0,0,0,0,0
ORIGA,007.png,0.9380036312270728,0.9610683632985685,0.9581984143384399,0.9495359972628206,0,0,0,0,0,0,0,0,0
ORIGA,008.png,0.933663649038418,0.9626498316131646,0.9630744405761456,0.9481567403257913,0,0,0,0,0,0,0,0,0
ORIGA,009.png,0.9066467943500534,0.9652372837784085,0.9665596145406865,0.9359420390642309,0,0,0,0,0,0,0,0,0
ORIGA,010.png,0.9305429053923844,0.9722123423295088,0.9609727574608855,0.9513776238609466,0,0,0,0,0,0,0,0,0
ORIGA,011.png,0.965632512092957,0.9725118186439685,0.968997123089876,0.9690721653684627,0,0,0,0,0,0,0,0,0
ORIGA,012.png,0.9527034048514686,0.9709084115979456,0.9742197148224749,0.9618059082247071,0,0,0,0,0,0,0,0,0
ORIGA,013.png,0.9296204462345874,0.9712106271604604,0.9695811176000223,0.9504155366975239,0,0,0,0,0,0,0,0,0
ORIGA,014.png,0.8938838709976513,0.9580275706548802,0.9510114393446986,0.9259557208262658,0,0,0,0,0,0,0,0,0
ORIGA,015.png,0.9527817288499401,0.9492385928653067,0.9624473599855734,0.9510101608576234,0,0,0,0,0,0,0,0,0
ORIGA,016.png,0.9330336168730127,0.9520886265907682,0.950887139913178,0.9425611217318904,0,0,0,0,0,0,0,0,0
ORIGA,017.png,0.882512948664562,0.964509205935558,0.9745986812536226,0.92351107730006,0,0,0,0,0,0,0,0,0
ORIGA,018.png,0.9163553267889735,0.972531534455756,0.9745411495400325,0.9444434306223648,0,0,0,0,0,0,0,0,0
ORIGA,019.png,0.892407596636875,0.9446373457326511,0.9553720822521989,0.918522471184763,0,0,0,0,0,0,0,0,0
ORIGA,020.png,0.7797127777533801,0.9507916051435183,0.950350570237475,0.8652521914484492,0,0,0,0,0,0,0,0,0
ORIGA,021.png,0.8723039178329914,0.9596539509922833,0.9535174684331149,0.9159789344126374,0,0,0,0,0,0,0,0,0
ORIGA,022.png,0.9737308078288367,0.9782905378357496,0.9729916540020576,0.9760106728322931,0,0,0,0,0,0,0,0,0
ORIGA,023.png,0.9238408907519852,0.9669061573797476,0.9626093019829847,0.9453735240658664,0,0,0,0,0,0,0,0,0
ORIGA,024.png,0.9543900915602894,0.9771904059307204,0.9769746892358264,0.9657902487455049,0,0,0,0,0,0,0,0,0
ORIGA,025.png,0.7989810861571925,0.8217229393284746,0.8555141429412598,0.8103520127428336,0,0,0,0,0,0,0,0,0
ORIGA,026.png,0.961434768296825,0.9628021373708712,0.9624126112773106,0.962118452833848,0,0,0,0,0,0,0,0,0
ORIGA,027.png,0.9643753977835103,0.9728079906522036,0.9660868728098815,0.968591694217857,0,0,0,0,0,0,0,0,0
ORIGA,028.png,0.9329615221498354,0.9719667416579088,0.9594181798719845,0.952464131903872,0,0,0,0,0,0,0,0,0
ORIGA,029.png,0.967186806830984,0.9744892310969857,0.9777795774328695,0.9708380189639849,0,0,0,0,0,0,0,0,0
ORIGA,030.png,0.9448756202257513,0.9729916170499173,0.9671637218118965,0.9589336186378343,0,0,0,0,0,0,0,0,0
ORIGA,031.png,0.8232019490141369,0.9155246330316082,0.9120819212055926,0.8693632910228726,0,0,0,0,0,0,0,0,0
ORIGA,032.png,0.9497847429320472,0.9662913700568043,0.9671099542672263,0.9580380564944257,0,0,0,0,0,0,0,0,0
ORIGA,033.png,0.8169713761833324,0.9311129239118712,0.9575681708820882,0.8740421500476018,0,0,0,0,0,0,0,0,0
ORIGA,034.png,0.9297025812942052,0.949120515447454,0.9837094183978161,0.9394115483708296,0,0,0,0,0,0,0,0,0
ORIGA,035.png,0.8966792709081997,0.9793677105257351,0.9821124117040998,0.9380234907169673,0,0,0,0,0,0,0,0,0
ORIGA,036.png,0.8412908225009132,0.9525433380963229,0.9756501759144067,0.896917080298618,0,0,0,0,0,0,0,0,0
ORIGA,037.png,0.8058337407465116,0.972158999703205,0.9742192224304889,0.8889963702248582,0,0,0,0,0,0,0,0,0
ORIGA,038.png,0.9485418781995784,0.9582198992197605,0.9494348610171839,0.9533808887096694,0,0,0,0,0,0,0,0,0
ORIGA,039.png,0.921457537303219,0.9597156128006759,0.9501748277425803,0.9405865750519474,0,0,0,0,0,0,0,0,0
ORIGA,040.png,0.7854750334377046,0.8373248724880252,0.8494762119915802,0.8113999529628649,0,0,0,0,0,0,0,0,0
ORIGA,041.png,0.919390451747822,0.9686184837128088,0.9756327169059987,0.9440044677303154,0,0,0,0,0,0,0,0,0
ORIGA,042.png,0.8581424284396871,0.9613612453335758,0.9429390953558454,0.9097518368866315,0,0,0,0,0,0,0,0,0
ORIGA,043.png,0.9269595831521439,0.9685041815483981,0.9797801656116666,0.947731882350271,0,0,0,0,0,0,0,0,0
ORIGA,044.png,0.8929611820034713,0.9785287641436764,0.9822046103086125,0.9357449730735738,0,0,0,0,0,0,0,0,0
ORIGA,045.png,0.9274501494822145,0.9703658212739628,0.975607733413002,0.9489079853780886,0,0,0,0,0,0,0,0,0
ORIGA,046.png,0.9213078041466136,0.9525612042955686,0.9720959833052704,0.936934504221091,0,0,0,0,0,0,0,0,0
ORIGA,047.png,0.9533295410463496,0.9583769839146148,0.9631246742326023,0.9558532624804822,0,0,0,0,0,0,0,0,0
ORIGA,048.png,0.9132655430039255,0.9669115416796873,0.9617673681908671,0.9400885423418064,0,0,0,0,0,0,0,0,0
ORIGA,049.png,0.9374904069793467,0.9791526451012648,0.9711463772687392,0.9583215260403057,0,0,0,0,0,0,0,0,0
ORIGA,050.png,0.9684985350456563,0.9545583072513528,0.9527149011619988,0.9615284211485046,0,0,0,0,0,0,0,0,0
ORIGA,051.png,0.9502540444774901,0.9523365565556096,0.962801954917107,0.9512953005165499,0,0,0,0,0,0,0,0,0
ORIGA,052.png,0.9638040841235888,0.9742562319258472,0.9763235937269126,0.969030158024718,0,0,0,0,0,0,0,0,0
ORIGA,053.png,0.9271921169961537,0.9738804663716739,0.9784408531902948,0.9505362916839137,0,0,0,0,0,0,0,0,0
ORIGA,054.png,0.9579910630326369,0.9806527441737514,0.9687161727265622,0.9693219036031941,0,0,0,0,0,0,0,0,0
ORIGA,055.png,0.9503952299224465,0.9818618332784511,0.9838404796283676,0.9661285316004489,0,0,0,0,0,0,0,0,0
ORIGA,056.png,0.9167455614260358,0.9672320131476907,0.9753276741420445,0.9419887872868633,0,0,0,0,0,0,0,0,0
ORIGA,057.png,0.9392503416137623,0.9784185348624078,0.9776390383704001,0.9588344382380851,0,0,0,0,0,0,0,0,0
ORIGA,058.png,0.9409311225154617,0.9729055629263075,0.9763374052042737,0.9569183427208846,0,0,0,0,0,0,0,0,0
ORIGA,059.png,0.9177921826566651,0.9707736401311087,0.9773757136401326,0.9442829113938869,0,0,0,0,0,0,0,0,0
ORIGA,060.png,0.9270551000008035,0.9671789835584159,0.9642997870438317,0.9471170417796098,0,0,0,0,0,0,0,0,0
ORIGA,061.png,0.9099933008167412,0.9594153598740711,0.9852537907085559,0.9347043303454061,0,0,0,0,0,0,0,0,0
ORIGA,062.png,0.9351812260815124,0.9770536007596035,0.9793014230270309,0.9561174134205579,0,0,0,0,0,0,0,0,0
ORIGA,063.png,0.9757722364244991,0.9594219014202863,0.957595404405317,0.9675970689223927,0,0,0,0,0,0,0,0,0
ORIGA,064.png,0.9278925183903475,0.9632952739879475,0.9797339511543768,0.9455938961891475,0,0,0,0,0,0,0,0,0
ORIGA,065.png,0.9360204702542163,0.9688014439336857,0.9790926109852531,0.952410957093951,0,0,0,0,0,0,0,0,0
ORIGA,066.png,0.968014727074291,0.9712230638796655,0.9622191832964637,0.9696188954769782,0,0,0,0,0,0,0,0,0
ORIGA,067.png,0.9513543749957638,0.9842048087220167,0.9723119851179279,0.9677795918588903,0,0,0,0,0,0,0,0,0
ORIGA,068.png,0.9702222741775708,0.9527643791317529,0.9515024650273749,0.9614933266546619,0,0,0,0,0,0,0,0,0
ORIGA,069.png,0.9148691518528003,0.9662882543212011,0.9793319775241276,0.9405787030870008,0,0,0,0,0,0,0,0,0
ORIGA,070.png,0.9664874823598746,0.9684741859385257,0.9709362750110655,0.9674808341492002,0,0,0,0,0,0,0,0,0
ORIGA,071.png,0.919222169801645,0.9498061114172354,0.9575747604050762,0.9345141406094402,0,0,0,0,0,0,0,0,0
ORIGA,072.png,0.9298859689697324,0.9544273831392465,0.9583859411460369,0.9421566760544895,0,0,0,0,0,0,0,0,0
ORIGA,073.png,0.9294186087315546,0.9736925237711385,0.9672111606603837,0.9515555662513465,0,0,0,0,0,0,0,0,0
ORIGA,074.png,0.9202936024556114,0.9719089961815988,0.9741165237522147,0.9461012993186051,0,0,0,0,0,0,0,0,0
ORIGA,075.png,0.9391565059551601,0.9787930500959592,0.9759826594991916,0.9589747780255596,0,0,0,0,0,0,0,0,0
ORIGA,076.png,0.9071675895074162,0.9662439950932717,0.9823200185835785,0.9367057923003439,0,0,0,0,0,0,0,0,0
ORIGA,077.png,0.8315445691414668,0.9534378044049423,0.9781646040391818,0.8924911867732046,0,0,0,0,0,0,0,0,0
ORIGA,078.png,0.9374634087619169,0.9478271425045242,0.9400405652543605,0.9426452756332205,0,0,0,0,0,0,0,0,0
ORIGA,079.png,0.9141996382636401,0.9713699576633116,0.972778597166716,0.9427847979634758,0,0,0,0,0,0,0,0,0
ORIGA,080.png,0.8979775196635801,0.9668561700803929,0.9628013572794285,0.9324168448719865,0,0,0,0,0,0,0,0,0
ORIGA,081.png,0.973828918543076,0.9781138175983539,0.970059544593052,0.9759713680707149,0,0,0,0,0,0,0,0,0
ORIGA,082.png,0.9116068386550651,0.9402274328167735,0.9487370378563731,0.9259171357359193,0,0,0,0,0,0,0,0,0
ORIGA,083.png,0.9336682138382149,0.9570891975642057,0.9390333044186656,0.9453787057012103,0,0,0,0,0,0,0,0,0
ORIGA,084.png,0.896946550275856,0.9219332353641213,0.793786887104323,0.9094398928199887,0,0,0,0,0,0,0,0,0
ORIGA,085.png,0.9280934592226401,0.9237205084146818,0.9396340678477295,0.9259069838186609,0,0,0,0,0,0,0,0,0
ORIGA,086.png,0.9628575396004018,0.9667061257643536,0.9824301982895188,0.9647818326823776,0,0,0,0,0,0,0,0,0
ORIGA,087.png,0.9424487661366745,0.9646204007909188,0.9606376537756021,0.9535345834637967,0,0,0,0,0,0,0,0,0
ORIGA,088.png,0.861559599945943,0.9685004543638437,0.9574113037336907,0.9150300271548933,0,0,0,0,0,0,0,0,0
ORIGA,089.png,0.9255752300733139,0.9611874425611943,0.9656480266336609,0.9433813363172541,0,0,0,0,0,0,0,0,0
ORIGA,090.png,0.9505315490802503,0.9742233625512573,0.9681290850660536,0.9623774558157538,0,0,0,0,0,0,0,0,0
ORIGA,091.png,0.8468234370931735,0.9777459927222278,0.9598803610050268,0.9122847149077007,0,0,0,0,0,0,0,0,0
ORIGA,092.png,0.9586098417477299,0.9730815349501603,0.9704817768312806,0.965845688348945,0,0,0,0,0,0,0,0,0
ORIGA,093.png,0.9203965360420042,0.9657862448296741,0.9661656745583072,0.9430913904358391,0,0,0,0,0,0,0,0,0
ORIGA,094.png,0.9481858327866917,0.9667275152764272,0.9636372436328844,0.9574566740315594,0,0,0,0,0,0,0,0,0
ORIGA,095.png,0.9355876726540658,0.9785802572442522,0.9734010424973705,0.957083964949159,0,0,0,0,0,0,0,0,0
ORIGA,096.png,0.9081021561617877,0.9595098066404764,0.9744610357522216,0.933805981401132,0,0,0,0,0,0,0,0,0
ORIGA,097.png,0.8655397407489429,0.9400142927253656,0.959045875710967,0.9027770167371543,0,0,0,0,0,0,0,0,0
ORIGA,098.png,0.960491359654159,0.9736437134745217,0.9702877839977238,0.9670675365643404,0,0,0,0,0,0,0,0,0
ORIGA,099.png,0.9329098253890089,0.9789713063883866,0.9769961552074669,0.9559405658886977,0,0,0,0,0,0,0,0,0
ORIGA,100.png,0.9642659776032638,0.9716771730968387,0.9716859077002876,0.9679715753500513,0,0,0,0,0,0,0,0,0
ORIGA,101.png,0.9471212868738439,0.9683215016741502,0.9662212859608876,0.957721394273997,0,0,0,0,0,0,0,0,0
ORIGA,102.png,0.9469833637983999,0.9782438756663299,0.9672595153372551,0.9626136197323649,0,0,0,0,0,0,0,0,0
ORIGA,103.png,0.9561133386254386,0.9793218566312065,0.9711427100318086,0.9677175976283225,0,0,0,0,0,0,0,0,0
ORIGA,104.png,0.9319407356734695,0.9725106150660562,0.9797054135784629,0.9522256753697629,0,0,0,0,0,0,0,0,0
ORIGA,105.png,0.965882668462831,0.9531062697565644,0.9689915893993453,0.9594944691096977,0,0,0,0,0,0,0,0,0
ORIGA,106.png,0.9569624232586553,0.9696638698512026,0.9729581999924859,0.963313146554929,0,0,0,0,0,0,0,0,0
ORIGA,107.png,0.9391372569828353,0.9790017083953624,0.9705041719277023,0.9590694826890989,0,0,0,0,0,0,0,0,0
ORIGA,108.png,0.8950660854180305,0.9592104374329953,0.9536878591531386,0.9271382614255128,0,0,0,0,0,0,0,0,0
ORIGA,109.png,0.8504696703931847,0.9572255399238834,0.9685563227378536,0.903847605158534,0,0,0,0,0,0,0,0,0
ORIGA,110.png,0.9526125464229354,0.9838663009138715,0.988387129371052,0.9682394236684034,0,0,0,0,0,0,0,0,0
ORIGA,111.png,0.9300226869510264,0.9725771954734348,0.9880942340827072,0.9512999412122306,0,0,0,0,0,0,0,0,0
