DATA_TEST,NOMBRE,DICE OC,DICE OD,DICE ODint,DICE AVG,PRECISION OC,PRECISION OD,PRECISION ODint,RECALL OC,RECALL OD,RECALL ODint,Hausdorff_distance_OC,Hausdorff_distance_OD,Hausdorff_distance_ODint
REFUGE,Test/0801.png,0.9218558891324629,0.9442382114355365,0.9713715306798508,0.9330470502839997,0,0,0,0,0,0,0,0,0
REFUGE,Test/0802.png,0.8913366909548968,0.9634233594918198,0.9893584309962422,0.9273800252233583,0,0,0,0,0,0,0,0,0
REFUGE,Test/0803.png,0.8460563436360325,0.905021261663802,0.9609496228379784,0.8755388026499173,0,0,0,0,0,0,0,0,0
REFUGE,Test/0804.png,0.921680928198932,0.948478730209505,0.9757387699014491,0.9350798292042185,0,0,0,0,0,0,0,0,0
REFUGE,Test/0805.png,0.9499296687920369,0.9777650105145173,0.9784304401463493,0.9638473396532771,0,0,0,0,0,0,0,0,0
REFUGE,Test/0806.png,0.8583105372132899,0.9669917613953174,0.9893653169149749,0.9126511493043037,0,0,0,0,0,0,0,0,0
REFUGE,Test/0807.png,0.8796223826114458,0.9433277305084555,0.9851661111704666,0.9114750565599506,0,0,0,0,0,0,0,0,0
REFUGE,Test/0808.png,0.9319643006032562,0.9688557041375219,0.9801918554880013,0.950410002370389,0,0,0,0,0,0,0,0,0
REFUGE,Test/0809.png,0.7964318168617861,0.951582062269518,0.9694904534565051,0.874006939565652,0,0,0,0,0,0,0,0,0
REFUGE,Test/0810.png,0.9372303421981709,0.9785999301947016,0.9864411534398528,0.9579151361964362,0,0,0,0,0,0,0,0,0
REFUGE,Test/0811.png,0.8753218890289385,0.9509947076972125,0.9887097889819867,0.9131582983630755,0,0,0,0,0,0,0,0,0
REFUGE,Test/0812.png,0.8405933132626264,0.9061340906790261,0.9388154770874197,0.8733637019708262,0,0,0,0,0,0,0,0,0
REFUGE,Test/0813.png,0.9176467309602656,0.9739961478310242,0.9925767799220687,0.9458214393956449,0,0,0,0,0,0,0,0,0
REFUGE,Test/0814.png,0.914539348761529,0.9669996014575343,0.9859055444904508,0.9407694751095317,0,0,0,0,0,0,0,0,0
REFUGE,Test/0815.png,0.8719333721940392,0.9659643033851374,0.9802904720662463,0.9189488377895882,0,0,0,0,0,0,0,0,0
REFUGE,Test/0816.png,0.8827276281171593,0.9499856753435918,0.9618973125396972,0.9163566517303756,0,0,0,0,0,0,0,0,0
REFUGE,Test/0817.png,0.917943532234559,0.9411653056645601,0.9805402718761641,0.9295544189495596,0,0,0,0,0,0,0,0,0
REFUGE,Test/0818.png,0.8903740234854416,0.9605771176079744,0.976378677961053,0.9254755705467079,0,0,0,0,0,0,0,0,0
REFUGE,Test/0819.png,0.9198964960059661,0.9290392057617103,0.9588477454939253,0.9244678508838382,0,0,0,0,0,0,0,0,0
REFUGE,Test/0820.png,0.7643244420998246,0.9555630841526339,0.9683399552565823,0.8599437631262292,0,0,0,0,0,0,0,0,0
REFUGE,Test/0821.png,0.9448878345131773,0.9868366355491146,0.990331445648814,0.9658622350311459,0,0,0,0,0,0,0,0,0
REFUGE,Test/0822.png,0.9319443305718073,0.97119348510429,0.9838235448770206,0.9515689078380487,0,0,0,0,0,0,0,0,0
REFUGE,Test/0823.png,0.8930125523490189,0.9590224406586734,0.9763639276658577,0.9260174965038461,0,0,0,0,0,0,0,0,0
REFUGE,Test/0824.png,0.8593772431005132,0.9415715300296491,0.9743175070496293,0.9004743865650812,0,0,0,0,0,0,0,0,0
REFUGE,Test/0825.png,0.8223981011937056,0.9027952682283227,0.9024752267751786,0.8625966847110141,0,0,0,0,0,0,0,0,0
REFUGE,Test/0826.png,0.9168080770340562,0.960001324228531,0.9695224649212485,0.9384047006312937,0,0,0,0,0,0,0,0,0
REFUGE,Test/0827.png,0.8648463589746584,0.9491574603610491,0.9698947815105414,0.9070019096678538,0,0,0,0,0,0,0,0,0
REFUGE,Test/0828.png,0.9247868682544059,0.9635573876740041,0.9580074116635944,0.944172127964205,0,0,0,0,0,0,0,0,0
REFUGE,Test/0829.png,0.9312085021943053,0.9724816431527357,0.992089803496997,0.9518450726735205,0,0,0,0,0,0,0,0,0
REFUGE,Test/0830.png,0.8797881220808994,0.9247783380980181,0.9708949380612804,0.9022832300894588,0,0,0,0,0,0,0,0,0
REFUGE,Test/0831.png,0.9033629601839677,0.964703436397115,0.9854093796532661,0.9340331982905413,0,0,0,0,0,0,0,0,0
REFUGE,Test/0832.png,0.876387464165236,0.9638494451754511,0.9749701120039127,0.9201184546703436,0,0,0,0,0,0,0,0,0
REFUGE,Test/0833.png,0.8706990666456488,0.9591622531430568,0.9812416472393303,0.9149306598943527,0,0,0,0,0,0,0,0,0
REFUGE,Test/0834.png,0.9597708784030836,0.9762485551192465,0.983667427142827,0.968009716761165,0,0,0,0,0,0,0,0,0
REFUGE,Test/0835.png,0.9418276665910585,0.962139635109797,0.9664787585156118,0.9519836508504278,0,0,0,0,0,0,0,0,0
REFUGE,Test/0836.png,0.7914808629944825,0.9137029431278454,0.9462338255633433,0.852591903061164,0,0,0,0,0,0,0,0,0
REFUGE,Test/0837.png,0.8748268684102309,0.9423507724835698,0.9730973960611505,0.9085888204469004,0,0,0,0,0,0,0,0,0
